ID,Match,SVT,Informatique,Français,Anglais,Histoire/Géographie,Participation
E122,9,3,9,19,11,4,10
E123,16,20,4,3,1,4,50
E124,0,6,9,6,10,9,3
E125,13,11,3,10,8,11,1
E126,19,0,7,20,7,1,85
E127,2,0,20,20,19,4,55
E128,9,17,0,5,7,5,91
E129,20,2,6,9,1,18,21
E130,18,9,18,17,6,0,59
E131,19,18,18,4,0,8,74
E132,13,17,1,1,18,0,88
E133,17,7,2,3,2,18,19
E134,9,4,9,17,19,3,20
E135,6,11,12,17,8,16,54
E136,8,17,12,13,14,20,18
E137,15,15,14,18,7,2,45
E138,7,10,15,17,10,17,65
E139,10,6,9,9,13,6,90
E140,9,14,13,12,3,20,67
E141,16,19,4,3,17,3,11
E142,3,6,6,0,16,9,42
E143,10,6,9,8,4,1,8
E144,0,9,4,20,0,6,54
E145,7,5,13,19,4,10,65
E146,2,7,15,3,17,4,50
E147,0,17,0,1,10,19,37
E148,12,9,12,7,0,8,58
E149,16,7,14,9,10,2,59
E150,3,16,5,9,2,19,92
E151,2,6,7,20,17,8,53
E152,7,2,0,4,5,3,21
E153,16,14,12,8,5,18,100
E154,13,3,8,20,8,11,88
E155,20,20,18,12,2,4,56
E156,2,15,13,1,3,15,81
E157,17,8,8,2,7,2,28
E158,0,8,3,18,20,15,54
E159,17,18,19,9,19,8,19
E160,8,15,20,13,14,6,69
E161,3,17,8,1,6,7,45
E162,12,7,13,7,2,12,5
E163,1,7,17,10,14,8,70
E164,5,4,7,16,3,10,35
E165,16,1,5,3,11,11,31
E166,4,5,15,18,2,8,60
E167,17,13,4,3,12,2,89
E168,14,1,20,15,3,6,10
E169,5,0,8,5,14,17,19
E170,4,8,5,15,3,7,28
E171,8,18,2,1,13,0,20
E172,0,7,10,18,0,4,45
E173,7,0,10,14,7,1,67
E174,20,2,3,18,5,0,2
E175,18,12,13,15,11,2,1
E176,20,13,2,6,13,8,16
E177,20,16,12,19,8,20,80
E178,19,9,11,5,19,4,46
E179,20,18,1,12,0,3,17
E180,15,0,4,20,5,7,63
E181,16,2,0,6,20,0,91
E182,2,13,18,8,2,5,64
E183,2,15,4,8,17,3,56
E184,20,13,20,18,17,19,60
E185,1,13,10,9,4,15,42
E186,20,11,6,20,7,10,21
E187,7,18,20,13,20,10,34
E188,15,6,10,6,11,16,53
E189,3,17,6,7,14,2,44
E190,1,14,4,8,13,10,32
E191,9,4,0,11,9,11,21
E192,10,5,13,2,12,17,99
E193,18,18,6,5,1,7,19
E194,9,19,11,14,0,6,94
E195,10,13,8,8,16,19,15
E196,5,12,17,6,4,2,52
E197,15,17,15,7,10,10,15
E198,20,17,16,18,14,14,99
E199,2,8,20,9,1,19,26
