ID,note,heures_etudes,orientation
E123,1.58,2,Littéraire
E124,4.18,8,Littéraire
E125,2.61,0,Littéraire
E126,16.73,28,Scientifique
E127,9.48,13,Littéraire
E128,12.49,20,Scientifique
E129,8.18,6,Littéraire
E130,8.49,13,Littéraire
E131,3.79,1,Littéraire
E132,15.75,24,Scientifique
E133,20.0,28,Scientifique
E134,17.85,25,Scientifique
E135,8.8,16,Littéraire
E136,0.62,0,Littéraire
E137,0.0,2,Littéraire
E138,15.85,20,Scientifique
E139,13.02,20,Scientifique
E140,12.65,23,Scientifique
E141,9.75,18,Littéraire
E142,11.8,16,Littéraire
E143,18.03,23,Scientifique
E144,13.42,18,Scientifique
E145,11.2,10,Littéraire
E146,10.95,14,Littéraire
E147,13.86,22,Scientifique
E148,7.68,8,Littéraire
E149,19.42,27,Scientifique
E150,15.72,28,Scientifique
E151,18.31,27,Scientifique
E152,10.87,21,Littéraire
E153,2.47,4,Littéraire
E154,4.55,5,Littéraire
E155,4.76,6,Littéraire
E156,7.55,11,Littéraire
E157,0.74,0,Littéraire
E158,11.93,15,Littéraire
E159,9.77,9,Littéraire
E160,4.77,9,Littéraire
E161,3.63,2,Littéraire
E162,13.03,23,Scientifique
E163,1.58,1,Littéraire
E164,7.26,7,Littéraire
E165,10.13,17,Littéraire
E166,7.99,8,Littéraire
E167,5.44,6,Littéraire
E168,17.52,26,Scientifique
E169,17.11,27,Scientifique
E170,5.28,5,Littéraire
E171,8.89,11,Littéraire
E172,6.19,4,Littéraire
E173,8.77,11,Littéraire
E174,5.96,5,Littéraire
E175,0.0,2,Littéraire
E176,11.76,18,Littéraire
E177,3.86,4,Littéraire
E178,11.95,15,Littéraire
E179,17.53,24,Scientifique
E180,6.73,6,Littéraire
E181,20.0,26,Scientifique
E182,10.8,17,Littéraire
E183,7.52,7,Littéraire
E184,11.5,14,Littéraire
E185,8.34,8,Littéraire
E186,12.15,17,Scientifique
E187,3.7,2,Littéraire
E188,14.19,19,Scientifique
E189,14.53,21,Scientifique
E190,4.76,4,Littéraire
E191,8.68,12,Littéraire
E192,12.15,17,Scientifique
E193,9.42,13,Littéraire
E194,9.07,11,Littéraire
E195,9.66,13,Littéraire
E196,8.05,6,Littéraire
E197,3.73,4,Littéraire
E198,9.35,14,Littéraire
E199,12.71,18,Scientifique
E200,6.26,2,Littéraire
